2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.157494 [guppy/info] Read '101aa227-d176-4146-9c0b-68b1ec128927' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.159667 [guppy/info] Read '105b0657-464d-429b-b1b0-79ae1d36be95' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.160759 [guppy/info] Read '105d19d5-ac06-47ef-b40e-d2559f08d976' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.160780 [guppy/info] Read '107f8f4e-9a33-40f0-974b-edfae546674c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.162932 [guppy/info] Read '11e7d750-bb70-4ee2-8d17-fd1c4a6f6bb5' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.164025 [guppy/info] Read '11e92a27-34d8-444f-b88e-6485ed9408d2' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.166182 [guppy/info] Read '124c4a7a-d6c3-4f25-9d82-059be96ad960' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.167271 [guppy/info] Read '124e288b-80c7-4e8e-8b73-e6d506df358a' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.169431 [guppy/info] Read '12763674-a64f-4137-a8da-591741c997e3' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.170525 [guppy/info] Read '1289b29e-aefc-44bb-be7d-9940a5565829' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.171619 [guppy/info] Read '1306f2a8-53d9-4e65-906f-0c538e32273e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.172721 [guppy/info] Read '13340b1a-fc2c-451b-947b-00f32071a194' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.173812 [guppy/info] Read '1373ad42-81ad-430b-8c77-3f93db67471e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.174909 [guppy/info] Read '13b404d9-81c9-47a4-8d50-aad22014b5cb' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.174928 [guppy/info] Read '13d28e91-caa3-4de3-b1b3-c183ab78430b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.176031 [guppy/info] Read '13d719cf-a144-4d93-aadd-05dedea3f8fd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.177124 [guppy/info] Read '13df6384-4dcf-4408-855d-b79a62434ea0' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.180343 [guppy/info] Read '14034ee6-0643-4cac-a4b8-02c9ed398ab6' from file "zymo_test_2.fast5" has been loaded.
