2021-07-22 22:28:12.484767 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/test_zymo/2000
save path:          /data/test_zymo/2000/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 22:28:12.485180 [guppy/info] crashpad_handler successfully launched.
2021-07-22 22:28:12.487764 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 22:28:12.487988 [guppy/info] connection state: preparing_connection
2021-07-22 22:28:12.488374 [guppy/info] connection state: loading_config
2021-07-22 22:28:12.490715 [guppy/info] connection state: loading_alignment_index
2021-07-22 22:28:12.490739 [guppy/info] connection state: loading_bed_file
2021-07-22 22:28:12.573485 [guppy/info] Read '1d668d63-7e9f-4fb6-976b-0a5d0a2f4fcf' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.573521 [guppy/info] Read '1d805b0e-1b77-48cf-b731-472070d6b9dc' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.574628 [guppy/info] Read '1d9741e8-a99d-4a95-898a-209a493bc7d6' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.574667 [guppy/info] Read '1e0e324f-f518-4ccb-bb2f-25f1444c5e7b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.574690 [guppy/info] Read '1e32faf8-e854-41de-9f19-46df6bab36b1' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.575796 [guppy/info] Read '1ec75c5e-bb35-4037-b232-3b6e1ce32fcc' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.575827 [guppy/info] Read '1edefe65-2cb6-46eb-80d1-038f3f5e9621' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.575854 [guppy/info] Read '1f072075-1a03-43c0-9de9-205b1465733c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.576960 [guppy/info] Read '1f0b0e82-7a2a-45c6-ac24-867b2324813c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-22 22:28:12.576994 [guppy/info] Read '1f77cc10-172d-403f-95fb-c1dd930d9537' from file "zymo_test_2000.fast5" has been loaded.
