2021-07-23 10:18:50.726877 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_sketch.cfg
input path:         2000
save path:          sketch_2000
chunk size:         2000
minimum qscore:     7
records per file:   4000

2021-07-23 10:18:50.727324 [guppy/info] crashpad_handler successfully launched.
2021-07-23 10:18:50.729678 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-23 10:18:50.729866 [guppy/info] connection state: preparing_connection
2021-07-23 10:18:50.730222 [guppy/info] connection state: loading_config
2021-07-23 10:18:51.733152 [guppy/info] connection state: loading_alignment_index
2021-07-23 10:18:51.733220 [guppy/info] connection state: loading_bed_file
2021-07-23 10:18:51.782461 [guppy/info] Read '0bda3341-3479-447a-be38-6d870c7c1e72' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.782484 [guppy/info] Read '0bf41cb5-e0ba-4cc1-b707-66e5d429f7b2' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.782500 [guppy/info] Read '0c3359c9-6b7d-49bd-9734-4c901993c7cd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.783591 [guppy/info] Read '0c87234f-cc79-40de-890b-af0776d95837' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.783618 [guppy/info] Read '0cbeab7b-1359-4e6c-a41a-25038413f31a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.784726 [guppy/info] Read '0d2a3f70-291c-4c48-b369-7ddcb6480e32' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.784752 [guppy/info] Read '0d3dd436-f4e5-46af-a3cd-89af33c999cf' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.784770 [guppy/info] Read '0d452414-0dc1-4b1b-91c1-107f9745db40' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.785867 [guppy/info] Read '0df0964c-58a0-4e41-b451-a047f4cbd835' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.785888 [guppy/info] Read '0e1079f1-2c2c-4419-8b76-f424580fda47' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.785904 [guppy/info] Read '0e74fcb3-1302-4ea5-bc1b-8fa6ba6f9315' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.787007 [guppy/info] Read '0e7b46c4-3ba7-4605-bd20-14167c65a628' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.787060 [guppy/info] Read '0e7e411f-1a80-4f6e-91ee-0af8daf339b7' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.788163 [guppy/info] Read '0ef55377-d43e-42c9-8a89-e919b38d6a56' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.788191 [guppy/info] Read '0effca01-5e36-4f42-a584-7f277ba34ad4' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.788216 [guppy/info] Read '0f6e300e-20cc-4076-afc1-3afe9e8c02f2' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.789307 [guppy/info] Read '0fcf5e50-3439-4488-a9ba-5dc09a3492ae' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.789331 [guppy/info] Read '0fd3bb65-f4c5-4de2-b43e-6a2f4789f167' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.789349 [guppy/info] Read '0fddce53-ddb3-428f-aa7b-7b4d559c4206' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.790502 [guppy/info] Read '0fe2a1e4-bbd9-4d3d-b713-e8bce957c98e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.790604 [guppy/info] Read '101aa227-d176-4146-9c0b-68b1ec128927' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.790636 [guppy/info] Read '105b0657-464d-429b-b1b0-79ae1d36be95' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.791755 [guppy/info] Read '105d19d5-ac06-47ef-b40e-d2559f08d976' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.791795 [guppy/info] Read '107f8f4e-9a33-40f0-974b-edfae546674c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.791816 [guppy/info] Read '11e7d750-bb70-4ee2-8d17-fd1c4a6f6bb5' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.792942 [guppy/info] Read '11e92a27-34d8-444f-b88e-6485ed9408d2' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.793001 [guppy/info] Read '124c4a7a-d6c3-4f25-9d82-059be96ad960' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.793041 [guppy/info] Read '124e288b-80c7-4e8e-8b73-e6d506df358a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.794155 [guppy/info] Read '12763674-a64f-4137-a8da-591741c997e3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.794183 [guppy/info] Read '1289b29e-aefc-44bb-be7d-9940a5565829' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.795297 [guppy/info] Read '1306f2a8-53d9-4e65-906f-0c538e32273e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.795365 [guppy/info] Read '13340b1a-fc2c-451b-947b-00f32071a194' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.795399 [guppy/info] Read '1373ad42-81ad-430b-8c77-3f93db67471e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.796515 [guppy/info] Read '13b404d9-81c9-47a4-8d50-aad22014b5cb' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.796577 [guppy/info] Read '13d28e91-caa3-4de3-b1b3-c183ab78430b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.796613 [guppy/info] Read '13d719cf-a144-4d93-aadd-05dedea3f8fd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.797725 [guppy/info] Read '13df6384-4dcf-4408-855d-b79a62434ea0' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.797783 [guppy/info] Read '14034ee6-0643-4cac-a4b8-02c9ed398ab6' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.797810 [guppy/info] Read '1492a35d-32f3-4dfb-859a-abc81f04c83c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.798923 [guppy/info] Read '14d5aa2a-0441-4536-b673-2fd3022c1e7e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.798982 [guppy/info] Read '14e3087b-a888-4ed0-9938-59eb5870d03e' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.799009 [guppy/info] Read '15628b0c-dab5-4e94-a4d0-234d719fbd0b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.800117 [guppy/info] Read '15bec8ee-e417-4ce4-94ac-cd112ecc2556' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.800146 [guppy/info] Read '15c90e79-40ae-40a7-a502-95b682327bc8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.801245 [guppy/info] Read '15dac4bc-74a3-4f68-b4c5-918e186dcfd8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.801269 [guppy/info] Read '15e7d397-9093-4490-8da2-af05d12c4328' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.801288 [guppy/info] Read '15fc2e87-81b2-4d85-ab36-e63b2cc7e90f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.802384 [guppy/info] Read '168c07d9-9311-44e6-a847-1f4d2fc4debe' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.802414 [guppy/info] Read '1696765f-9139-40ac-a7eb-a90eddd12f72' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.802434 [guppy/info] Read '16a89db4-e871-4060-9e1d-10f5d44787cd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.803525 [guppy/info] Read '1742337f-a684-4a76-97d9-eceb8e671521' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.803547 [guppy/info] Read '174fe808-db37-4ab4-aa61-c829e63896f4' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.803567 [guppy/info] Read '17e8ccf6-2a66-4d4c-97dd-950123d66c76' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.804671 [guppy/info] Read '181fc917-44c6-4253-aa8d-8de028119b69' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.804709 [guppy/info] Read '1832b79a-6e2f-4c89-902a-d9262dc09ffd' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.805799 [guppy/info] Read '188ee845-29be-4253-b497-ea154ddd8a0b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.805826 [guppy/info] Read '18933cf7-9e75-40e1-8a74-544834bee6b1' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.805846 [guppy/info] Read '190b963a-6aba-459b-b03d-c8bb9a77b42f' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.807001 [guppy/info] Read '19248e80-a7f0-4129-9a31-9e109fbbfa85' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.807055 [guppy/info] Read '19498a13-aa54-434a-b720-7888135e0f61' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.807082 [guppy/info] Read '1a4ada27-b447-48b4-9b56-b92b2e2c57de' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.808244 [guppy/info] Read '1a74fbba-3187-4d49-8f59-c61a51f3feb3' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.808308 [guppy/info] Read '1a9bc835-9967-4fdf-b790-6ac417216977' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.808334 [guppy/info] Read '1ab2ff19-5fea-47f1-8377-8d376627938c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.809431 [guppy/info] Read '1b0d3b65-eb58-4a69-830f-03958dc7003b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.809477 [guppy/info] Read '1b3f88b7-dcbd-4538-bf5a-9c0a70a04394' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.809507 [guppy/info] Read '1b553be3-98d9-4c0b-bab1-53b1621e81f8' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.810619 [guppy/info] Read '1b625e17-ce37-4391-8b12-1ac686e0be56' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.810670 [guppy/info] Read '1be832a8-4043-4530-9972-f82ef8250d6a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.811767 [guppy/info] Read '1c195c04-cdde-4035-9813-042249e37765' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.811800 [guppy/info] Read '1c54bbb3-b293-4ffb-ac5c-01e514f8d414' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.811819 [guppy/info] Read '1c809a0e-b28c-43d4-bd96-3bd11ef13af5' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.812928 [guppy/info] Read '1cb27f0d-482b-42cd-8b4c-9d3eb9f5c14c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.812977 [guppy/info] Read '1cc96062-399d-46c5-bae1-62d708d9f398' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.813003 [guppy/info] Read '1cf2e7e5-10d1-499d-a48d-05338ec05e0a' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.814105 [guppy/info] Read '1d5d33ee-d637-4b3f-b083-9147948708e0' from file "zymo_test_2000.fast5" has been loaded.
